,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
21,Dani Alves,39, D(R),M(CR),,13(1),1103,2.1,0.8,1.9,0.1,0.6,0.9,0.2,-,7.03
22,Raúl de Tomás,27, FW,,,33(1),2928,0.4,0.2,1,-,1.1,0.3,0.1,-,7.02
23,Luka Modric,36, M(C),,,25(3),2050,0.6,0.7,0.9,-,0.3,0.8,0.1,-,7.01
24,Javi Galán,27, D(L),M(L),,37,3300,2.9,1.2,1.5,0.1,1.1,1.5,0.2,-,7.01
25,Rubén Alcaraz,31, DMC,,,12(2),1106,2.9,0.9,2.1,0.1,0.9,1.6,0.1,-,7.01
26,Mathías Olivera,24, D(L),M(L),,32,2807,2.5,1.7,1.7,0.2,1.7,0.9,0.1,-,7
27,Óscar Trejo,34, M(CLR),,,24(8),2023,1.3,0.4,1.8,-,0.3,1.1,-,-,7
28,Gonçalo Guedes,25, AM(CLR),FW,,30(6),2614,0.6,0.3,1,-,-,0.6,-,-,6.99
29,Jordi Alba,33, D(L),M(L),,30,2648,1.6,1.1,0.9,0.4,1.1,0.7,0.2,-,6.99
30,Toni Kroos,32, M(C),,,25(3),2112,1.2,0.4,0.7,-,0.4,0.8,0.1,-,6.98
31,Gabriel Paulista,31, D(CR),,,19,1602,1.1,2.1,0.6,0.8,4.5,0.3,0.6,-,6.98
32,Pierre-Emerick Aubameyang,32, M(CLR),FW,,13(4),1092,0.1,0.1,0.4,-,0.2,0.3,0.1,-,6.98
33,Eder Militão,24, D(CR),,,34,3033,1.5,1.5,1.1,0.4,3.1,0.6,0.6,-,6.97
34,Ferland Mendy,26, D(L),M(L),,20(2),1739,1.1,0.8,0.7,0.1,0.9,0.3,0.1,-,6.96
35,Etienne Capoue,33, D(C),M(CL),,26(4),2298,1.5,1.2,1.5,-,1.7,0.4,0.2,-,6.96
36,José Luis Morales,34, D(R),M(CLR),FW,31(4),2727,0.8,0.1,0.8,-,0.1,0.9,-,-,6.96
37,Marcos Acuña,30, D(L),M(CL),,26(5),2266,1.6,0.5,1.2,0.1,0.6,0.5,0.2,-,6.96
38,Marc Bartra,31, D(CR),DMC,,23,1994,1.7,1.4,0.9,1.3,4.4,0.7,1,-,6.95
39,Íñigo Martínez,31, D(C),,,26(1),2344,1,1.4,1.2,0.5,5.1,0.3,0.4,-,6.94
40,Abdessamad Ezzalzouli,20, Forward,,,6(4),582,1.7,0.9,1.7,0.1,-,0.3,-,-,6.94
41,Juan Foyth,24, D(CR),DMC,,22(3),1932,2.8,0.8,1.6,0.4,1.7,0.5,0.3,-,6.94
42,David García,28, D(C),,,35,3106,0.8,1.5,1.5,0.6,4.7,0.3,0.6,-,6.94
43,Enes Ünal,25, FW,,,33(4),2812,1,0.1,2.1,-,1,1,0.1,-,6.94
44,Sergio Canales,31, M(CLR),,,33(1),2803,0.7,0.3,0.6,-,0.3,0.7,-,-,6.94
45,Martín Montoya,31, D(LR),M(R),,6,519,3.3,1.8,1.3,0.5,2.8,1.8,-,-,6.94
46,Pablo Maffeo,24, D(R),M(R),,35,2952,2.4,1.3,0.9,0.1,1.7,0.9,0.4,-,6.93
